prime_minister_candidate_name,county,num,total_vote_count,offline_vote_count,online_vote_count
Márki-Zay Péter,Budapest,7,3002,2062,940
Jakab Péter,Budapest,7,654,471,183
Fekete-Győr András,Budapest,7,459,285,174
Karácsony Gergely,Budapest,8,6047,4990,1057
Dobrev Klára,Budapest,8,3414,3136,278
Márki-Zay Péter,Budapest,8,3160,2562,598
Jakab Péter,Budapest,8,697,576,121
Fekete-Győr András,Budapest,8,616,460,156
Dobrev Klára,Budapest,9,3086,2796,290
Karácsony Gergely,Budapest,9,2693,2140,553
Márki-Zay Péter,Budapest,9,1604,1206,398
Jakab Péter,Budapest,9,648,507,141
Fekete-Győr András,Budapest,9,333,249,84
Karácsony Gergely,Budapest,10,3509,2710,799
Dobrev Klára,Budapest,10,3357,3058,299
Márki-Zay Péter,Budapest,10,2074,1505,569
Jakab Péter,Budapest,10,601,470,131
Fekete-Győr András,Budapest,10,326,216,110
Dobrev Klára,Budapest,11,3975,3670,305
Karácsony Gergely,Budapest,11,3226,2539,687
Márki-Zay Péter,Budapest,11,2161,1623,538
Jakab Péter,Budapest,11,791,651,140
Fekete-Győr András,Budapest,11,434,311,123
Dobrev Klára,Budapest,12,3763,3523,240
Karácsony Gergely,Budapest,12,2415,1964,451
Márki-Zay Péter,Budapest,12,1657,1247,410
Jakab Péter,Budapest,12,712,591,121
Fekete-Győr András,Budapest,12,309,231,78
Karácsony Gergely,Budapest,13,3820,3078,742
Dobrev Klára,Budapest,13,3062,2803,259
Márki-Zay Péter,Budapest,13,2420,1959,461
Jakab Péter,Budapest,13,524,429,95
Fekete-Győr András,Budapest,13,471,369,102
Dobrev Klára,Budapest,14,2850,2597,253
Karácsony Gergely,Budapest,14,2545,1996,549
Márki-Zay Péter,Budapest,14,1782,1273,509
Jakab Péter,Budapest,14,917,761,156
Fekete-Győr András,Budapest,14,286,191,95
Dobrev Klára,Budapest,15,3554,3242,312
Karácsony Gergely,Budapest,15,2934,2334,600
Márki-Zay Péter,Budapest,15,1761,1258,503
Jakab Péter,Budapest,15,689,515,174
Fekete-Győr András,Budapest,15,279,192,87
Dobrev Klára,Budapest,16,3142,2825,317
Karácsony Gergely,Budapest,16,2561,1982,579
Márki-Zay Péter,Budapest,16,1592,1186,406
Jakab Péter,Budapest,16,712,576,136
Fekete-Győr András,Budapest,16,327,211,116
Dobrev Klára,Budapest,17,3402,3146,256
Karácsony Gergely,Budapest,17,2488,2025,463
Márki-Zay Péter,Budapest,17,1670,1248,422
Jakab Péter,Budapest,17,820,648,172
Fekete-Győr András,Budapest,17,264,192,72
Karácsony Gergely,Budapest,18,4025,3150,875
Dobrev Klára,Budapest,18,3505,3213,292
Márki-Zay Péter,Budapest,18,2697,2012,685
Jakab Péter,Budapest,18,590,464,126
Fekete-Győr András,Budapest,18,549,415,134
Dobrev Klára,Csongrád,1,3103,3103,0
Fekete-Győr András,Csongrád,1,2805,2805,0
Jakab Péter,Csongrád,1,2120,2120,0
Karácsony Gergely,Csongrád,1,802,802,0
Márki-Zay Péter,Csongrád,1,268,268,0
Dobrev Klára,Csongrád,2,2189,1966,223
Karácsony Gergely,Csongrád,2,1957,1385,572
Márki-Zay Péter,Csongrád,2,1881,1242,639
Jakab Péter,Csongrád,2,649,525,124
Fekete-Győr András,Csongrád,2,258,161,97
Dobrev Klára,Csongrád,3,1632,1543,89
Márki-Zay Péter,Csongrád,3,1382,1091,291
Jakab Péter,Csongrád,3,1149,1001,148
Karácsony Gergely,Csongrád,3,849,665,184
Fekete-Győr András,Csongrád,3,172,130,42
Márki-Zay Péter,Csongrád,4,3195,2686,509
Dobrev Klára,Csongrád,4,1571,1461,110
Jakab Péter,Csongrád,4,762,639,123
Karácsony Gergely,Csongrád,4,697,526,171
Fekete-Győr András,Csongrád,4,89,65,24
Dobrev Klára,Fejér,1,2076,1869,207
Karácsony Gergely,Fejér,1,1752,1365,387
Márki-Zay Péter,Fejér,1,1132,694,438
Jakab Péter,Fejér,1,466,359,107
Fekete-Győr András,Fejér,1,205,130,75
Dobrev Klára,Fejér,2,1271,1092,179
Márki-Zay Péter,Fejér,2,805,465,340
Jakab Péter,Fejér,2,733,576,157
Karácsony Gergely,Fejér,2,699,467,232
Fekete-Győr András,Fejér,2,104,58,46
Dobrev Klára,Fejér,3,1514,1207,307
Márki-Zay Péter,Fejér,3,1110,587,523
Karácsony Gergely,Fejér,3,1034,578,456
Jakab Péter,Fejér,3,448,256,192
Fekete-Győr András,Fejér,3,211,118,93
Dobrev Klára,Fejér,4,2750,2569,181
Jakab Péter,Fejér,4,1449,1293,156
Karácsony Gergely,Fejér,4,1140,906,234
